品名,CAS号
"过氧化甲基乙基酮[10%＜有效氧含量 ≤10.7%,含A型稀释剂≥48%]",1338-23-4
1-萘胺,134-32-7
氟化铯,13400-13-0
氟化氢铵,1341-49-7
硝酸钕镨,134191-62-1
叠氮化铅[含水或水加乙醇≥20%],13424-46-9
铜乙二胺溶液,13426-91-0
亚磷酸二氢铅,1344-40-7；12141-20-7
硫化汞,1344-48-5
碘酸铵,13446-09-8
高碘酸铵,13446-11-2
亚硝酸铵,13446-48-5
氟化铷,13446-74-7
三硫化二锑,1345-04-6
高氯酸锶,13450-97-0
四氯化硫,13451-08-6
焦砷酸,13453-15-1
氯酸铊,13453-30-0
三碘化铊,13453-37-7
磷酸亚铊,13453-41-3
碘酸钾合一碘酸,13455-24-8
四氯化铅,13463-30-4
砷酸钠,13464-38-5
硝酸羟胺,13465-08-2
亚硝酸钡,13465-94-6
高氯酸钡,13465-95-7
碘酸锶,13470-01-4
"2,2'-偶氮-二-(2-甲基丁腈)",13472-08-7
氯酸钡,13477-00-4
重铬酸钡,13477-01-5
砷酸钡,13477-04-8
氢化钡,13477-09-3
次氯酸钡[含有效氯＞22%],13477-10-6
高氯酸钙,13477-36-6
三氯化钼,13478-18-7
硝酸镓,13494-90-1
硝酸钇,13494-98-9
"1,2-二乙基苯",135-01-3
N-苯基-2-萘胺,135-88-6
仲丁基苯,135-98-8
4-二甲基氨基-6-(2-二甲基氨乙基氧基)甲苯-2-重氮氯化锌盐,135072-82-1
砷酸银,13510-44-6
硫酸铍,13510-49-1
高氯酸亚铁,13520-69-9
重铬酸铯,13530-67-1
氟磷酸[无水],13537-32-1
硝酸铬,13548-38-4
"O,O-二乙基-O-喹噁咻-2-基硫代磷酸酯",13593-03-8
硝酸铍,13597-99-4
亚磷酸,13598-36-2
重氮氨基苯,136-35-6
高氯酸铅,13637-76-8
"2,2-二-(叔戊基过氧)丁烷[含量≤57%,含A型稀释剂≥43%]",13653-62-8
十溴联苯,13654-09-6
重铬酸铜,13675-47-3
氰化亚铜三钾,13682-73-0
2-甲苯硫酚,137-06-4
邻氨基苯硫醇,137-07-5
"双(N,N-二甲基甲硫酰)二硫化物",137-26-8
双(二甲基二硫代氨基甲酸)锌,137-30-4
2-甲基-1-丁醇,137-32-6
溴代环戊烷,137-43-9
氟化镧,13709-38-1
高碘酸钡,13718-58-6
亚硒酸钡,13718-59-7
硝酸锆,13746-89-9
硝酸钐,13759-83-6
硼氢化钾,13762-51-1
氯酸铯,13763-67-2
碘酸锂,13765-03-2
偏钒酸钾,13769-43-2
硝酸铟,13770-61-1
氢化铝钠,13770-96-2
亚硫酸氢镁,13774-25-9
二氟磷酸[无水],13779-41-4
亚硫酸氢钙,13780-03-5
亚硝酸钙,13780-06-8
亚硒酸钙,13780-18-2
对硝基苯磺酸,138-42-1
双戊烯,138-86-3
"4-亚硝基-N,N-二甲基苯胺",138-89-6
氟硼酸铅,13814-96-5
硝酸氧锆,13826-66-9
氟硼酸锌,13826-88-5
次氯酸锂,13840-33-0
重铬酸锂,13843-81-7
氯化溴,13863-41-7
氟铍酸钠,13871-27-7
苯酚钠,139-02-6
仲高碘酸钠,13940-38-0
仲丁胺,13952-84-6
氰化亚金钾,13967-50-5
溴酸钡,13967-90-3
三聚丙烯,13987-01-4
苯乙腈,140-29-4
N-氨基乙基哌嗪,140-31-8
1-二乙基氨基-4-氨基戊烷,140-80-7
丙烯酸乙酯[稳定的],140-88-5
重铬酸锌,14018-95-2
放线菌素,1402-38-6
硫氰酸汞钾,14099-12-8
正戊酸正丙酯,141-06-0
丙烯酸正丁酯[稳定的],141-32-2
2-氨基乙醇,141-43-5
乙醇钠,141-52-6
丙基三氯硅烷,141-57-1
"1,1,3,3-四甲基-1-丁硫醇",141-59-3
正丁酰氯,141-75-3
乙酸乙酯,141-78-6
4-甲基-3-戊烯-2-酮,141-79-7
盐酸-3-氯苯胺,141-85-5
"2,6-二甲基吗啉",141-91-3
"1,3-二乙基苯",141-93-5
氟硼酸银,14104-20-2
盐酸苯胺,142-04-1
"1,3-二氯丙烷",142-28-9
环戊烯,142-29-0
"1,2-亚乙基双二硫代氨基甲酸二钠",142-59-6
己酰氯,142-61-0
己酸,142-62-1
四氢吡喃,142-68-7
正庚烷,142-82-5
二正丙胺,142-84-7
乙酸正己酯,142-92-7
正丁醚,142-96-1
"2-特丁基-4,6-二硝基酚",1420-07-1
N-3-[1-羟基-2-(甲氨基)乙基]苯基甲烷磺酰胺甲磺酸盐,1421-68-7
铬酸铍,14216-88-7
氰化镍钾,14220-17-8
萘磺汞,14235-86-0
氰化金钾,14263-59-3
氰化亚铜三钠,14264-31-4
连二亚硫酸钾,14293-73-3
钒酸钾,14293-78-8
十氯酮,143-50-0
"O,O-二甲基-S-(吗啉代甲酰甲基)二硫代磷酸酯",144-41-2
原乙酸三甲酯,1445-45-0
氟硼酸镉,14486-19-2
六甲基二硅烷,1450-14-2
四丁基氢氧化磷,14518-69-5
溴酸镉,14518-94-6
溴酸锌,14519-07-4
溴酸锶,14519-18-7
"2,4,6-三硝基苯酚银[含水≥30%]",146-84-9
